area_type,availability,BHK,society,total_sqft,bath,balcony,price,site_location
Plot  Area,1,2,0,1200,2,1,120,Sinhagad Road
Built-up  Area,1,2,Riave E,1000,2,1,50,Somwar Peth
Built-up  Area,1,4,0,2780,5,2,480,Swargate
Built-up  Area,0,3,Sryalan,1320,2,1,38.13,Tilak Road
Super built-up  Area,1,4,AWharde,2422,4,2,160,Vadgaon Budruk
Built-up  Area,1,2,TNaldme,1100,2,1,50,Wadgaon Sheri
Built-up  Area,1,2,Gaent R,882,2,1,30,Viman Nagar
Super built-up  Area,1,2,Prityel,845,2,1,37,Vishrant Wadi
Super built-up  Area,1,2,Prrtht ,883,2,1,39,Wagholi
Super built-up  Area,1,3,Gotaten,1595,3,3,88,Wanowrie
Built-up  Area,1,2,Gotis A,1280,2,0,85,Warje
Built-up  Area,1,4,0,1700,2,1,550,Yerawada
Super built-up  Area,1,2,GRlpank,1300,2,3,57,Alandi Road
Super built-up  Area,1,2,Malex C,1450,1,0,230,Ambegaon Budruk
Super built-up  Area,1,3,SosicCl,1757,3,2,132,Anandnagar
Super built-up  Area,1,1,0,600,1,1,16.5,Aundh
Built-up  Area,1,4,0,2400,3,2,142,Aundh Road
Super built-up  Area,1,2,0,1240,2,1,44,Balaji Nagar
Super built-up  Area,0,2,BrontLa,1330,2,1,93.36,Baner road
Super built-up  Area,1,2,MBodsen,1062,2,1,42.47,Bhandarkar Road
Built-up  Area,1,2,DSillto,1078,2,2,45,Bhavani Peth
Super built-up  Area,1,3,SNity S,1460,2,2,72,Bibvewadi
Plot  Area,0,3,0,1200,3,2,68.5,Bopodi
Super built-up  Area,1,1,0,1200,1,1,48,Budhwar Peth
Super built-up  Area,1,3,0,912,2,1,39,Bund Garden Road
Plot  Area,1,5,0,2400,5,1,625,Chandan Nagar
Plot  Area,1,4,Prigh L,2028,4,3,162,Dapodi
Super built-up  Area,0,2,Brama P,980,2,1,45.47,Deccan Gymkhana
Built-up  Area,1,2,Usquaya,1000,2,2,40,Dehu Road
Super built-up  Area,1,2,Ahriaup,1050,2,1,62,Dhankawadi
Built-up  Area,0,3,0,2611,3,1,239,Dhayari Phata
Super built-up  Area,1,3,Saiewas,1875,2,2,150,Dhole Patil Road
Super built-up  Area,1,2,0,1065,2,1,42.6,Erandwane
Built-up  Area,1,3,0,1800,3,2,180,Fatima Nagar
Super built-up  Area,1,2,0,1163,2,2,98.86,Fergusson College Road
Super built-up  Area,1,2,0,1098,2,1,72,Ganesh Peth
Built-up  Area,1,3,Shlashi,1725,2,2,100,Ganeshkhind
Plot  Area,1,4,0,4000,4,2,330,Ghorpade Peth
Super built-up  Area,1,2,Adity S,1128,2,2,75,Ghorpadi
Super built-up  Area,1,3,Prensya,1705,3,1,74.16,Gultekdi
Super built-up  Area,1,2,0,1418,2,2,95,Guruwar peth
Built-up  Area,1,3,0,1500,3,1,160,Hadapsar
Built-up  Area,1,2,AkncyRe,1100,2,2,50,Hadapsar Industrial Estate
Super built-up  Area,1,3,0,1464,3,2,56,Hingne Khurd
Super built-up  Area,0,2,Arcia S,812,2,2,55,Jangali Maharaj Road
Super built-up  Area,1,2,0,1280,2,2,40,Karve Nagar
Super built-up  Area,1,2,BruntPa,1420,2,2,136,Karve Road
Super built-up  Area,0,4,Jaades ,2774,4,0,207,Khadki
Super built-up  Area,1,3,0,2000,3,2,85,Kharadi
Super built-up  Area,1,3,Gats He,1722,3,0,95,Kondhwa
Super built-up  Area,1,3,ToSky F,2800,3,1,330,Kondhwa Budruk
Carpet  Area,1,3,Fanorrt,1650,3,3,175,Koregaon Park
Built-up  Area,1,2,Raave E,840,2,2,27,Kothrud
Built-up  Area,1,2,DLhtsan,914,2,2,47,Law College Road
Super built-up  Area,0,3,Puachal,1482,2,2,83.73,Laxmi Road
Super built-up  Area,0,3,Dieldli,1724,3,2,127,Lulla Nagar
Super built-up  Area,1,3,Vadidpl,1670,3,3,91.86,Mahatma Gandhi Road
Super built-up  Area,1,2,0,1184,2,3,53,Mangalwar peth
Super built-up  Area,1,2,0,1200,2,1,55,Manik Bagh
Plot  Area,1,2,0,1200,2,0,65,Market yard
Super built-up  Area,1,2,DLhtsen,927,2,2,55,Model colony
Super built-up  Area,1,2,0,1242,2,3,39.7,Mukund Nagar
Built-up  Area,0,3,Sryalan,1220,3,1,35.23,Mundhawa
Built-up  Area,1,3,GMown E,1360,2,1,75,Nagar Road
Plot  Area,1,4,0,2800,4,2,240,Nana Peth
Super built-up  Area,1,2,Hiestre,1180,2,2,72,Narayan Peth
Super built-up  Area,1,3,Prtates,1697,3,2,108,Narayangaon
Super built-up  Area,1,2,Shateor,1225,2,1,57,Padmavati
Super built-up  Area,1,3,ViisePa,1690,2,2,55,Parvati Darshan
Super built-up  Area,1,3,0,1488,3,0,57,Paud Road
Built-up  Area,1,3,Keharya,1250,2,1,80,Pirangut
Super built-up  Area,1,1,Duoveoo,1050,1,1,44,Prabhat Road
Super built-up  Area,1,2,0,1027,2,2,44,Pune Railway Station
Super built-up  Area,0,3,GolusLi,1699,3,3,81.94,Rasta Peth
Built-up  Area,1,2,Viaree ,1205,2,2,58,Raviwar Peth
Super built-up  Area,0,2,0,950,2,3,39,Sahakar Nagar
Plot  Area,1,2,0,1200,2,0,70,Salunke Vihar
Super built-up  Area,1,3,Hiows C,1476,3,1,120,Sasson Road
Built-up  Area,1,2,0,1070,2,1,55,Satara Road
Super built-up  Area,1,3,BrontLa,2160,4,2,172,Senapati Bapat Road
Super built-up  Area,1,2,Putus L,1296,2,1,75,Shaniwar Peth
Built-up  Area,1,2,0,1800,1,1,128,Shivaji Nagar
Super built-up  Area,1,3,JRrnauv,1570,3,3,64.5,Shukrawar Peth
Super built-up  Area,1,2,Saace P,1300,2,3,110,Sinhagad Road
Built-up  Area,1,4,0,1550,2,2,65,Somwar Peth
Super built-up  Area,1,2,GMown E,770,1,1,40,Swargate
Built-up  Area,1,3,Kuownri,1870,3,0,110,Tilak Road
Plot  Area,1,3,Edleyil,1650,4,0,160,Uruli Devachi
Super built-up  Area,1,3,Valipf ,1429,3,3,86,Vadgaon Budruk
Super built-up  Area,0,3,0,1167,2,2,39.98,Wadgaon Sheri
Super built-up  Area,0,2,SSestth,1035,2,1,41.73,Viman Nagar
Super built-up  Area,1,3,0,1188,2,2,38,Vishrant Wadi
Super built-up  Area,1,1,MaentNa,884,2,2,36,Wanowrie
Super built-up  Area,1,2,0,1194,2,2,46,Warje
Super built-up  Area,0,2,Caycend,1026,2,1,60.87,Yerawada
Super built-up  Area,1,2,0,1115,2,2,50,Ambegaon Budruk
Plot  Area,1,2,0,1200,2,1,125,Anandnagar
Super built-up  Area,0,4,Jaades ,2690,4,3,191,Aundh
Super built-up  Area,1,2,Mayne A,975,2,1,58,Aundh Road
Super built-up  Area,1,4,0,1900,2,1,170,Baner
Super built-up  Area,1,2,0,1101,2,2,65.5,Bhandarkar Road
Super built-up  Area,1,3,Maana E,1700,3,3,135,Bhavani Peth
Super built-up  Area,1,4,PrOakSi,3606,4,2,312,Bibvewadi
Super built-up  Area,1,2,ACersd ,1258,2,2,115,Bopodi
Carpet  Area,1,3,Advash ,1560,3,0,92,Budhwar Peth
Super built-up  Area,1,4,Brica E,3630,6,1,195,Bund Garden Road
Built-up  Area,1,3,Adace P,2000,3,2,250,Camp
Super built-up  Area,0,4,Raard B,2790,4,3,198,Chandan Nagar
Super built-up  Area,0,3,DNncasa,1494,2,2,94.55,Dapodi
Super built-up  Area,0,3,Puachal,1482,2,1,87,Deccan Gymkhana
Super built-up  Area,1,2,Inuseda,800,2,3,50,Dehu Road
Super built-up  Area,1,2,0,1185,2,2,47.39,Dhankawadi
Super built-up  Area,1,2,RatosAr,1100,2,2,71.5,Dhayari Phata
Built-up  Area,1,2,0,1300,2,0,120,Dhole Patil Road
Super built-up  Area,1,2,EvestPi,1225,2,2,150,Erandwane
Super built-up  Area,1,3,0,1758,3,2,65,Fatima Nagar
Super built-up  Area,1,2,0,1145,2,2,55,Fergusson College Road
Built-up  Area,1,2,BhncyRe,1180,2,2,50,Ganesh Peth
Super built-up  Area,1,2,Kehts H,1260,2,2,58,Ganeshkhind
Built-up  Area,1,2,DancyRe,1190,2,2,55,Ghorpadi
Super built-up  Area,1,3,Klark L,1691,3,2,119,Gokhale Nagar
Super built-up  Area,0,4,0,3675,4,3,367,Gultekdi
Built-up  Area,1,3,Frhts H,1305,3,0,95.45,Guruwar peth
Super built-up  Area,0,3,0,2337,4,3,292,Hadapsar
Plot  Area,1,2,0,1200,2,2,150,Hadapsar Industrial Estate
Super built-up  Area,0,2,0,1206,2,1,217,Hingne Khurd
Super built-up  Area,1,2,0,1140,2,1,50.66,Kalyani Nagar
Super built-up  Area,1,2,Mauil T,1250,2,2,65,Karve Nagar
Super built-up  Area,0,2,0,1225,2,2,48,Kasba Peth
Built-up  Area,1,2,N iewak,800,2,2,28,Katraj
Super built-up  Area,1,2,ShshaSa,1020,2,1,58,Khadaki
Built-up  Area,1,4,0,2100,2,1,50,Khadki
Plot  Area,1,2,0,1350,2,1,80,Kharadi
Super built-up  Area,1,2,0,925,2,1,40,Kondhwa
Built-up  Area,1,4,0,1800,3,1,220,Kondhwa Budruk
Built-up  Area,1,3,0,2000,3,1,100,Kondhwa Khurd
Built-up  Area,1,3,Loente ,1510,2,1,75,Koregaon Park
Plot  Area,1,5,0,5800,7,0,1200,Kothrud
Super built-up  Area,1,3,DubowRa,1614,3,1,110,Law College Road
Plot  Area,1,2,0,1200,2,0,95,Lulla Nagar
Plot  Area,1,2,0,900,2,0,55,Mahatma Gandhi Road
Built-up  Area,1,4,Prana S,1632,3,0,145,Mangalwar peth
Super built-up  Area,1,2,0,1041,2,2,65.5,Manik Bagh
Built-up  Area,1,6,BriumMi,5080,7,0,450,Market yard
Super built-up  Area,0,4,Mamespa,3012,6,2,250,Model colony
Super built-up  Area,1,3,0,1530,3,2,74.5,Mukund Nagar
Super built-up  Area,1,3,NCdgerj,1450,2,2,135,Mundhawa
Super built-up  Area,1,2,Hiate F,1200,2,2,75,Nagar Road
Super built-up  Area,1,3,PuendWe,1508,2,1,110,Narayan Peth
Super built-up  Area,1,2,AlEcone,1188,2,3,73,Navi Peth
Super built-up  Area,0,4,Jaades ,2690,4,3,199,Padmavati
Super built-up  Area,1,2,Prncyrn,1174,2,1,76,Parvati Darshan
Super built-up  Area,0,3,SheldGr,1350,3,1,58.99,Pashan
Super built-up  Area,1,3,Bamita ,1870,3,3,185,Paud Road
Super built-up  Area,0,2,DSestSt,1072,2,1,25,Pirangut
Super built-up  Area,0,2,VBn 2lm,726,2,1,31,Pune Railway Station
Super built-up  Area,1,2,Saageat,1345,2,2,106,Rasta Peth
Super built-up  Area,1,2,Dhalsh ,1200,2,2,45,Raviwar Peth
Built-up  Area,1,2,0,980,2,0,37,Sadashiv Peth
Super built-up  Area,1,2,SyidaCr,1050,2,1,77,Sahakar Nagar
Super built-up  Area,1,2,0,993,2,1,39.71,Salunke Vihar
Super built-up  Area,1,3,0,1300,2,2,52,Sasson Road
Super built-up  Area,1,3,Prlla C,1743,3,2,85,Satara Road
Plot  Area,1,2,0,1200,2,0,67,Shaniwar Peth
Super built-up  Area,1,3,0,1480,3,2,90,Shivaji Nagar
Super built-up  Area,1,2,Sondaka,950,2,2,32.5,Shukrawar Peth
Built-up  Area,1,1,Saiewas,640,1,0,55,Sinhagad Road
Super built-up  Area,0,2,MJtroty,972,2,1,44,Somwar Peth
Super built-up  Area,1,3,PadgeOa,1840,3,3,98,Swargate
Super built-up  Area,1,2,Prarkun,1128,2,1,64,Tilak Road
Plot  Area,1,2,0,680,2,0,42,Uruli Devachi
Plot  Area,1,2,Clood E,2400,2,1,95,Vadgaon Budruk
Built-up  Area,1,2,0,1045,2,2,42,Wadgaon Sheri
Built-up  Area,1,2,0,955,2,3,53.55,Viman Nagar
Super built-up  Area,1,3,0,1360,2,2,54.39,Vishrant Wadi
Super built-up  Area,1,2,Mames M,1150,2,2,63,Wagholi
Built-up  Area,0,4,Gollela,3450,4,3,294,Wakadewadi
Super built-up  Area,0,2,0,1115,2,2,56.87,Wanowrie
Super built-up  Area,1,2,DLhtsen,920,2,2,46,Warje
Super built-up  Area,0,2,0,1030,2,1,41,Yerawada
Super built-up  Area,1,3,Soitya ,1564,3,1,101,Alandi Road
Super built-up  Area,1,2,SirlsPe,1045,2,1,45,Ambegaon Budruk
Built-up  Area,1,2,0,1277,2,2,55,Aundh
Super built-up  Area,1,3,SoniaPe,2479.13,3,1,215,Aundh Road
Super built-up  Area,1,3,Adeatlm,1846,3,2,140,Balaji Nagar
Built-up  Area,1,2,0,1100,2,0,106,Baner
Super built-up  Area,1,3,Muncy R,1690,3,0,75,Baner road
Plot  Area,0,2,0,1200,3,0,70,Bhandarkar Road
Built-up  Area,1,4,InllaPa,3042,4,0,131,Bhavani Peth
Super built-up  Area,1,3,Brway G,1640,3,3,223,Bibvewadi
Built-up  Area,0,2,GKncysi,1068,2,1,40.05,Bopodi
Super built-up  Area,1,2,SGiewrk,1135,2,2,58,Budhwar Peth
Super built-up  Area,1,3,0,1925,3,2,120,Bund Garden Road
Super built-up  Area,1,3,0,1615,3,2,60,Camp
Super built-up  Area,1,1,0,650,1,1,26,Chandan Nagar
Super built-up  Area,1,2,AnaveEn,1150,2,3,42,Deccan Gymkhana
Super built-up  Area,0,3,0,1410,2,2,45.12,Dhankawadi
Super built-up  Area,0,3,0,2000,3,3,207,Dhole Patil Road
Super built-up  Area,1,3,Sahtsva,1354,3,1,90,Erandwane
Plot  Area,1,2,0,1050,2,0,110,Fatima Nagar
Built-up  Area,1,1,0,600,1,1,28,Fergusson College Road
Plot  Area,1,4,SLncyaj,1320,2,1,110,Ganesh Peth
Super built-up  Area,0,3,0,1600,3,2,88,Ganeshkhind
Built-up  Area,1,4,ColeyNa,3500,6,2,225,Ghorpade Peth
Super built-up  Area,1,2,Samesan,1000,2,1,36,Ghorpadi
Super built-up  Area,1,3,VBavaai,1130,3,1,38,Gokhale Nagar
Super built-up  Area,1,2,0,1238,2,1,67,Gultekdi
Super built-up  Area,1,3,Vaour S,2204,2,3,305,Guruwar peth
Super built-up  Area,0,3,0,1364,2,3,46.38,Hadapsar Industrial Estate
Built-up  Area,1,2,0,900,2,1,45,Hingne Khurd
Super built-up  Area,1,3,MauilTr,1745,3,2,104,Jangali Maharaj Road
Super built-up  Area,1,2,0,1200,2,1,53.33,Kalyani Nagar
Super built-up  Area,1,2,0,1020,2,1,42.83,Karve Nagar
Super built-up  Area,0,3,0,1650,3,2,118,Karve Road
Super built-up  Area,1,3,MaaveEn,1550,2,3,70,Kasba Peth
Super built-up  Area,1,2,0,1440,2,2,60,Katraj
Super built-up  Area,1,3,Soe 2as,1329,2,2,45.95,Khadaki
Super built-up  Area,1,2,Prareth,916,2,1,42,Khadki
Super built-up  Area,1,1,NiarkHy,688,1,2,50,Kharadi
Super built-up  Area,1,3,Sholaya,1358,3,3,50,Kondhwa
Super built-up  Area,0,2,Soazak ,1331,2,1,107,Kondhwa Budruk
Super built-up  Area,1,1,Kaamai ,686,1,1,62.5,Kondhwa Khurd
Super built-up  Area,1,2,Sulla S,1050,2,2,50,Koregaon Park
Super built-up  Area,1,3,Sodgere,2106,3,2,126,Kothrud
Super built-up  Area,0,3,Rosha I,1718,3,2,90.2,Law College Road
Super built-up  Area,1,3,GrrvaGr,1530,3,2,57,Laxmi Road
Super built-up  Area,1,2,0,1206,2,2,56,Lulla Nagar
Built-up  Area,1,2,Arade A,1075,2,3,52,Mahatma Gandhi Road
Plot  Area,0,3,0,1200,3,1,95,Mangalwar peth
Super built-up  Area,0,3,DSdidSp,1936,2,2,54.21,Manik Bagh
Super built-up  Area,1,4,K dotna,2172.65,3,3,120,Market yard
Super built-up  Area,1,3,0,1100,2,2,75,Model colony
Plot  Area,1,3,0,1260,5,1,185,Mukund Nagar
Super built-up  Area,1,2,Soikaa ,1117,2,3,29.99,Nana Peth
Built-up  Area,1,3,Suncy R,1685,2,1,110,Narayan Peth
Super built-up  Area,1,2,AnncyRe,740,2,1,37,Narayangaon
Plot  Area,1,4,0,1500,2,2,93,Padmavati
Super built-up  Area,1,3,Bregae ,1800,3,2,115,Parvati Darshan
Super built-up  Area,1,3,PuontBe,1700,3,2,130,Pashan
Built-up  Area,1,2,Kinumsh,850,2,2,37.93,Paud Road
Super built-up  Area,1,3,SaireSa,1891,3,1,139,Pirangut
Built-up  Area,1,2,Prensin,1400,1,1,80,Prabhat Road
Super built-up  Area,1,2,0,1172,2,2,82,Pune Railway Station
Super built-up  Area,0,3,0,1400,2,2,40.43,Rasta Peth
Built-up  Area,1,2,DSgam S,896,2,1,43.75,Raviwar Peth
Super built-up  Area,0,2,Saityat,1180,2,2,65,Sadashiv Peth
Built-up  Area,1,2,Siise R,850,2,1,33,Salunke Vihar
Super built-up  Area,0,1,0,530,1,1,18,Sasson Road
Super built-up  Area,0,3,0,1550,3,3,110,Satara Road
Super built-up  Area,0,3,GoityEt,1699,3,3,97,Senapati Bapat Road
Super built-up  Area,0,4,NiCodCa,2025,4,3,109,Shaniwar Peth
Super built-up  Area,0,1,0,500,2,2,14,Shivaji Nagar
Built-up  Area,1,1,Jeshan ,500,1,0,20,Shukrawar Peth
Built-up  Area,1,2,0,1146,2,1,38.5,Sinhagad Road
Super built-up  Area,1,3,Sariaat,2475,4,3,332,Somwar Peth
Super built-up  Area,1,2,Rencyed,1455,2,1,145,Swargate
Plot  Area,1,2,0,800,1,0,50,Tilak Road
Super built-up  Area,1,1,0,765,2,2,30,Uruli Devachi
Super built-up  Area,1,3,Soiewre,1521,3,1,94.99,Vadgaon Budruk
Super built-up  Area,1,3,0,1600,2,2,55,Wadgaon Sheri
Super built-up  Area,1,3,Prurten,3155,4,2,370,Viman Nagar
Super built-up  Area,1,3,GonumPl,2900,4,0,240,Vishrant Wadi
Super built-up  Area,1,3,Reicace,1765,3,3,105,Wagholi
Super built-up  Area,1,3,Incksaf,1980,3,2,88,Wakadewadi
Built-up  Area,1,3,0,1900,3,1,135,Wanowrie
Super built-up  Area,1,2,Dural C,1265,2,3,70,Warje
Super built-up  Area,1,2,Niara S,1034,2,3,40,Yerawada
Built-up  Area,1,2,0,1012,2,1,59,Alandi Road
Super built-up  Area,1,2,GMown E,1070,2,1,54,Ambegaon Budruk
Built-up  Area,1,4,0,3555,4,1,230,Anandnagar
Super built-up  Area,1,3,0,1270,2,2,70,Aundh
Super built-up  Area,1,3,AkletBa,2045,4,3,154,Balaji Nagar
Super built-up  Area,1,3,AkonyHa,1490,2,2,98,Baner
Built-up  Area,1,7,0,6150,6,1,830,Baner road
Super built-up  Area,1,2,0,883,2,1,40,Bhandarkar Road
Super built-up  Area,1,1,IBityin,671,1,1,36.85,Bhavani Peth
Super built-up  Area,1,2,Elentrk,1156,2,2,32,Bibvewadi
Super built-up  Area,1,3,NDionas,2017,3,2,125,Bopodi
Super built-up  Area,1,4,Prtanha,3122,6,2,235,Budhwar Peth
Super built-up  Area,0,3,ViistLa,1635,3,1,62,Bund Garden Road
Built-up  Area,1,7,0,4400,9,0,120,Camp
Super built-up  Area,0,2,Soazak ,1296,2,1,89,Chandan Nagar
Plot  Area,1,6,0,2400,4,2,280,Dapodi
Super built-up  Area,1,2,PrityTr,1139,2,2,62,Deccan Gymkhana
Super built-up  Area,0,2,0,1230,3,2,47,Dehu Road
Super built-up  Area,1,1,0,581.91,2,1,25,Dhankawadi
Super built-up  Area,0,2,Shestlo,1245,2,1,86.28,Dhayari Phata
Plot  Area,1,3,0,1158,2,2,85,Dhole Patil Road
Built-up  Area,1,4,PueraRi,3951,4,2,220,Erandwane
Super built-up  Area,1,3,0,1350,3,1,55,Ganesh Peth
Built-up  Area,1,3,Soweray,1670,3,2,120,Ganeshkhind
Super built-up  Area,1,3,0,1600,2,2,65,Ghorpade Peth
Super built-up  Area,1,2,0,1307,2,2,51.6,Ghorpadi
Built-up  Area,1,3,LencyRe,1050,2,1,57,Gokhale Nagar
Super built-up  Area,1,3,ChionCo,1703,3,0,101,Gultekdi
Super built-up  Area,1,3,Baowsig,1210,2,1,58,Guruwar peth
Built-up  Area,0,2,0,1025,2,1,29.6,Hadapsar
Super built-up  Area,1,2,RInceeg,1140,2,2,43,Hadapsar Industrial Estate
Super built-up  Area,1,3,Vasta C,1343,2,2,56.41,Hingne Khurd
Super built-up  Area,1,3,0,1560,3,2,85,Jangali Maharaj Road
Super built-up  Area,0,2,Sothin ,925,2,2,51,Kalyani Nagar
Super built-up  Area,1,3,SoapeSu,1420,2,2,75,Karve Nagar
Built-up  Area,1,2,Dhnts A,1415,2,3,110,Karve Road
Super built-up  Area,1,2,Aaityi ,1210,2,2,60,Kasba Peth
Super built-up  Area,1,3,RNvasth,1852,3,2,160,Katraj
Super built-up  Area,1,3,Deiveer,1250,3,2,50,Khadaki
Super built-up  Area,0,2,Vasisvi,1100,2,1,65,Khadki
Super built-up  Area,1,2,0,1150,2,1,40.25,Kharadi
Super built-up  Area,0,2,ArndsSk,1100,2,1,53.35,Kondhwa
Plot  Area,1,2,Bhgarve,1350,1,0,100,Kondhwa Budruk
Super built-up  Area,1,3,SVnamnd,1546,3,2,99,Kondhwa Khurd
Super built-up  Area,1,2,SoechHa,1424,2,2,90,Koregaon Park
Built-up  Area,1,3,Itnaia ,1398,3,1,68,Kothrud
Super built-up  Area,1,3,MCtleas,1650,3,2,200,Law College Road
Super built-up  Area,1,3,Mapleer,1476,3,2,105,Lulla Nagar
Super built-up  Area,0,3,Vrenty ,1322,2,2,58.82,Mangalwar peth
Built-up  Area,1,2,0,1100,2,2,55,Market yard
Super built-up  Area,1,4,0,4750,5,0,600,Model colony
Built-up  Area,1,3,Ahownve,1285,2,2,68,Mukund Nagar
Built-up  Area,1,2,SJodsed,1150,2,2,80,Mundhawa
Super built-up  Area,1,3,MenueNo,1430,2,2,56,Nagar Road
Super built-up  Area,1,3,0,1350,2,2,62,Nana Peth
Plot  Area,1,3,0,1350,3,3,195,Narayan Peth
Built-up  Area,1,2,Kenia G,1185,2,2,65,Narayangaon
Super built-up  Area,1,3,Leate O,1760,3,2,67,Navi Peth
Plot  Area,1,4,0,2400,5,2,350,Padmavati
Super built-up  Area,0,2,0,900,2,1,41,Parvati Darshan
Super built-up  Area,0,2,Soazak ,1297,2,1,105,Pashan
Super built-up  Area,1,3,SodilDa,1840,3,2,155,Paud Road
Built-up  Area,1,2,0,950,2,1,50.79,Pirangut
Carpet  Area,1,2,Jancyva,950,2,1,52,Pune Railway Station
Super built-up  Area,0,3,Prarkun,1571,3,2,89,Raviwar Peth
Super built-up  Area,1,2,Brods W,1031,2,1,55,Sadashiv Peth
Super built-up  Area,0,2,Goted U,1485,2,1,90,Sahakar Nagar
Super built-up  Area,0,2,Marnara,1109,2,1,60,Salunke Vihar
Super built-up  Area,1,3,0,2200,3,2,180,Sasson Road
Super built-up  Area,0,1,Prtates,950,1,1,50,Satara Road
Plot  Area,1,3,0,1200,2,0,150,Senapati Bapat Road
Super built-up  Area,0,2,Mahesr ,1161,2,1,55.15,Shaniwar Peth
Super built-up  Area,1,3,0,2350,3,3,300,Shivaji Nagar
Super built-up  Area,0,2,MJtroty,1003,2,1,40.6,Shukrawar Peth
Plot  Area,1,2,0,1350,2,1,185,Sinhagad Road
Super built-up  Area,0,2,0,1080,2,2,37,Somwar Peth
Super built-up  Area,1,2,RatosAr,1255,2,2,73,Swargate
Super built-up  Area,1,2,0,1250,2,0,60,Tilak Road
Plot  Area,1,4,0,1700,4,1,152,Uruli Devachi
Plot  Area,1,3,0,1200,2,0,66,Vadgaon Budruk
Built-up  Area,1,2,0,824,2,0,60,Wadgaon Sheri
Super built-up  Area,1,3,Prhtsok,1875,3,1,167,Viman Nagar
Built-up  Area,0,3,0,1320,2,1,38.12,Vishrant Wadi
Super built-up  Area,1,3,Aklia R,1330,2,1,47,Wakadewadi
Super built-up  Area,1,3,0,1220,3,2,56,Wanowrie
Super built-up  Area,0,3,0,1111,3,1,50,Warje
Super built-up  Area,1,2,0,1197,2,1,47.88,Yerawada
Super built-up  Area,1,4,Prionad,2519,5,2,185,Alandi Road
Super built-up  Area,0,3,0,1340,2,1,100,Ambegaon Budruk
Plot  Area,1,4,Feowsdi,1450,3,3,132,Anandnagar
Super built-up  Area,0,3,GoAirej,1837,3,3,145,Aundh
Super built-up  Area,1,2,ACiteda,1238,2,3,55,Balaji Nagar
Super built-up  Area,1,3,Vasta C,1405,2,2,59.01,Baner
Super built-up  Area,1,4,0,1690,3,2,80,Baner road
Built-up  Area,1,3,0,1620,2,1,110,Bhandarkar Road
Super built-up  Area,1,3,PuandHi,1673,3,2,115,Bhavani Peth
Plot  Area,1,2,0,1090,2,0,58,Bibvewadi
Super built-up  Area,1,2,DSingSt,1112,2,2,40,Bopodi
Super built-up  Area,1,3,0,1385,2,2,66.65,Budhwar Peth
Super built-up  Area,1,2,Mayne A,985,2,1,58,Camp
Super built-up  Area,1,2,0,1080,2,1,37.8,Dapodi
Super built-up  Area,0,2,Sosisic,1430,2,1,97.52,Deccan Gymkhana
Super built-up  Area,1,2,Malowr ,1050,2,2,43,Dehu Road
Plot  Area,1,4,0,2000,4,1,139,Dhankawadi
Built-up  Area,1,4,0,4800,4,3,190,Dhayari Phata
Built-up  Area,1,3,Arnorya,1533,3,2,115,Dhole Patil Road
Plot  Area,1,4,0,2800,3,2,500,Erandwane
Super built-up  Area,1,3,Vaonyi ,2610,3,0,399,Fatima Nagar
Super built-up  Area,1,3,RothaVa,1750,3,2,150,Fergusson College Road
Plot  Area,1,3,0,1200,2,0,66,Ganesh Peth
Super built-up  Area,1,2,Prlmsge,1352,2,2,87.5,Ganeshkhind
Super built-up  Area,1,3,SosicCl,1754,3,2,125,Ghorpade Peth
Built-up  Area,1,3,Paion P,1560,3,2,85,Ghorpadi
Super built-up  Area,0,4,Mamespa,3012,6,2,268,Gokhale Nagar
Super built-up  Area,1,4,0,3584,4,0,199,Gultekdi
Super built-up  Area,1,3,Pritehi,1470,2,1,90,Guruwar peth
Built-up  Area,1,2,NaensGa,1035,2,1,45,Hadapsar
Plot  Area,1,4,PrOakSi,2400,5,0,329,Hadapsar Industrial Estate
Built-up  Area,1,2,0,1160,2,1,52,Hingne Khurd
Super built-up  Area,1,2,Elidet ,1100,2,2,52,Jangali Maharaj Road
Super built-up  Area,1,2,0,1170,2,0,38,Kalyani Nagar
Super built-up  Area,0,1,Hiatei ,595,1,1,31.83,Karve Nagar
Super built-up  Area,1,3,Brstark,1650,3,2,110,Karve Road
Super built-up  Area,1,3,0,1875,2,3,235,Kasba Peth
Super built-up  Area,1,3,0,1375,2,3,48.06,Khadaki
Super built-up  Area,0,2,ViistLa,1235,2,1,46.8,Khadki
Super built-up  Area,1,1,0,750,1,2,25,Kharadi
Built-up  Area,1,3,Eladero,1400,3,1,115,Kondhwa
Super built-up  Area,1,3,0,1270,2,2,50.79,Kondhwa Budruk
Super built-up  Area,0,2,0,1105,2,1,51,Kondhwa Khurd
Super built-up  Area,1,3,NeendLe,1375,2,3,85,Koregaon Park
Plot  Area,1,4,0,2168,4,2,95,Kothrud
Super built-up  Area,1,2,Ulure S,1065,2,1,40.84,Laxmi Road
Plot  Area,1,3,0,3800,3,0,580,Lulla Nagar
Super built-up  Area,1,1,UKe 2nz,825,1,1,45,Mangalwar peth
Built-up  Area,1,2,0,1095,2,0,40,Manik Bagh
Super built-up  Area,0,3,Plowsri,1440,2,2,60.33,Model colony
Super built-up  Area,1,2,GMown E,870,2,1,39.5,Mukund Nagar
Super built-up  Area,1,2,Prcesvy,1195,2,1,84,Mundhawa
Super built-up  Area,1,2,0,1200,2,1,49.5,Nagar Road
